# Normal L1 Network Traffic Sample Data
timestamp,source_ip,dest_ip,protocol,packet_size,signal_strength,throughput,latency,error_rate
2025-08-12 10:00:01,192.168.1.10,192.168.1.20,TCP,1500,-70,100.5,5.2,0.0001
2025-08-12 10:00:02,192.168.1.11,192.168.1.21,UDP,800,-72,95.3,4.8,0.0002
2025-08-12 10:00:03,192.168.1.12,192.168.1.22,TCP,1200,-69,105.7,5.1,0.0001
2025-08-12 10:00:04,192.168.1.13,192.168.1.23,UDP,1000,-71,98.2,4.9,0.0003
2025-08-12 10:00:05,192.168.1.14,192.168.1.24,TCP,1400,-70,102.1,5.0,0.0001
2025-08-12 10:00:06,192.168.1.15,192.168.1.25,UDP,900,-73,92.8,5.3,0.0002
2025-08-12 10:00:07,192.168.1.16,192.168.1.26,TCP,1300,-68,108.4,4.7,0.0001
2025-08-12 10:00:08,192.168.1.17,192.168.1.27,UDP,1100,-72,96.7,5.0,0.0003
2025-08-12 10:00:09,192.168.1.18,192.168.1.28,TCP,1500,-69,104.2,4.8,0.0002
2025-08-12 10:00:10,192.168.1.19,192.168.1.29,UDP,850,-71,99.5,5.1,0.0001
2025-08-12 10:00:11,192.168.1.20,192.168.1.30,TCP,1250,-70,101.8,4.9,0.0001
2025-08-12 10:00:12,192.168.1.21,192.168.1.31,UDP,950,-72,97.3,5.2,0.0002
2025-08-12 10:00:13,192.168.1.22,192.168.1.32,TCP,1350,-68,106.9,4.6,0.0001
2025-08-12 10:00:14,192.168.1.23,192.168.1.33,UDP,1050,-73,94.1,5.4,0.0003
2025-08-12 10:00:15,192.168.1.24,192.168.1.34,TCP,1450,-69,103.6,4.8,0.0002
